Gene_symbol,Entry,ID
YDL089W,Q12066,713
YDL090C,P22007,714
YDL091C,Q12229,715
YDL092W,P38985,716
YDL093W,P52867,717
YDL095W,P33775,718
YDL097C,Q12377,719
YDL098C,Q12368,720
YDL099W,Q12191,721
YDL100C,Q12154,722
YDL101C,P39009,723
YDL102W,P15436,724
YDL103C,P43123,725
YDL105W,P43124,726
YDL106C,P07269,727
YDL107W,P40990,728
YDL108W,P06242,729
YDL109C,Q12103,730
YDL110C,Q12513,731
YDL111C,Q12277,732
YDL112W,Q07527,733
YDL113C,Q07528,734
YDL115C,Q07532,735
YDL116W,P52891,736
YDL117W,Q07533,737
YDL118W,Q07535,738
YDL119C,Q07534,739
YDL120W,Q07540,740
YDL121C,Q07541,741
YDL122W,P25037,742
YDL123W,Q07549,743
YDL124W,Q07551,744
YDL125C,Q04344,745
YDL126C,P25694,746
YDL127W,P25693,747
YDL128W,Q99385,748
YDL129W,Q07555,749
YDL130W,P10622,750
YDL130W-A,P01098,751
YDL131W,Q12122,752
YDL132W,Q12018,753
YDL133C-A,P0CX87,754
YDL133W,Q12516,755
YDL134C,P23594,756
YDL135C,Q12434,757
YDL136W,P0CX85,758
YDL137W,P19146,759
YDL138W,Q12300,760
YDL139C,Q12334,761
YDL140C,P04050,762
YDL141W,P48445,763
YDL142C,Q07560,764
YDL143W,P39078,765
YDL144C,Q07589,766
YDL145C,P53622,767
YDL146W,Q12342,768
YDL147W,Q12250,769
YDL148C,Q99207,770
YDL149W,Q12142,771
YDL150W,P25441,772
YDL153C,Q12136,773
YDL154W,Q12175,774
YDL155W,P24870,775
YDL156W,Q12510,776
YDL157C,Q12082,777
YDL159W,P06784,778
YDL159W-A,Q3E774,779
YDL160C,P39517,780
YDL160C-A,Q3E829,781
YDL161W,Q12518,782
YDL164C,P04819,783
YDL165W,P06100,784
YDL166C,Q12055,785
YDL167C,P32770,786
YDL168W,P32771,787
YDL169C,P32772,788
YDL170W,P26370,789
YDL171C,Q12680,790
YDL173W,Q12515,791
YDL174C,P32891,792
YDL175C,Q12476,793
YDL176W,Q12027,794
YDL177C,Q12257,795
YDL178W,P46681,796
YDL179W,Q12477,797
YDL180W,Q12301,798
YDL181W,P01097,799
YDL182W,P48570,800
YDL183C,P48569,801
YDL184C,P0CX86,802
YDL185W,P17255,803
YDL186W,P48568,804
YDL188C,P23595,805
YDL189W,Q05672,806
YDL190C,P54860,807
YDL191W,P0CX84,808
YDL192W,P11076,809
YDL193W,Q12063,810
YDL194W,P10870,811
YDL195W,P38968,812
YDL197C,P32448,813
YDL198C,P38988,814
YDL199C,Q12407,815
YDL200C,P26188,816
YDL201W,Q12009,817
YDL202W,P36521,818
YDL203C,Q07622,819
YDL204W,Q12443,820
YDL205C,P28789,821
YDL206W,Q12424,822
YDL207W,Q12315,823
YDL208W,P32495,824
YDL209C,Q12046,825
YDL210W,P32837,826
YDL211C,Q12121,827
YDL212W,Q02774,828
YDL213C,Q07623,829
YDL214C,Q12310,830
YDL215C,P33327,831
YDL216C,Q12468,832
YDL217C,Q12328,833
YDL218W,Q07629,834
YDL219W,Q07648,835
YDL220C,P32797,836
YDL222C,Q07651,837
YDL223C,Q07653,838
YDL224C,Q07655,839
YDL225W,Q07657,840
YDL226C,P35197,841
YDL227C,P09932,842
YDL229W,P11484,843
YDL230W,P25044,844
YDL231C,Q07660,845
YDL232W,Q99380,846
YDL233W,Q07684,847
YDL234C,P48365,848
YDL235C,Q07688,849
YDL236W,P19881,850
YDL237W,Q07716,851
YDL238C,Q07729,852
YDL239C,Q07732,853
YDL240W,P35688,854
YDL241W,Q07738,855
YDL243C,Q07747,856
YDL244W,Q07748,857
YDL245C,P54854,858
YDL246C,Q07786,859
YDL247W,P0CD99,860
YDL248W,Q07788,861
YDR001C,P32356,862
YDR002W,P41920,863
YDR003W,Q03446,864
YDR003W-A,Q3E7Z7,865
YDR004W,P25301,866
YDR005C,P41910,867
YDR006C,P40317,868
YDR007W,P00912,869
YDR009W,P13045,870
YDR011W,P32568,871
YDR012W,P49626,872
YDR013W,Q12488,873
YDR014W,Q03937,874
YDR016C,Q12248,875
YDR017C,Q12494,876
YDR018C,Q12185,877
YDR019C,P48015,878
YDR020C,Q12084,879
YDR021W,Q12099,880
YDR022C,Q12421,881
YDR023W,P07284,882
YDR025W,P0CX47,883
YDR026C,Q12457,884
YDR027C,Q12071,885
YDR028C,Q00816,886
YDR030C,Q12021,887
YDR031W,Q04341,888
YDR032C,Q12335,889
YDR033W,Q12117,890
YDR034C,Q12472,891
YDR034C-A,P0C289,892
YDR034C-C,Q12392,893
YDR034W-B,Q6Q5X2,894
YDR035W,P14843,895
YDR036C,P28817,896
YDR037W,P15180,897
YDR038C,Q12691,898
YDR039C,Q01896,899
YDR040C,P13587,900
YDR041W,Q03201,901
YDR042C,Q03205,902
YDR043C,Q03125,903
YDR044W,P11353,904
YDR045C,Q04307,905
YDR046C,P41815,906
YDR047W,P32347,907
YDR049W,Q04311,908
YDR050C,P00942,909
YDR051C,Q99288,910
YDR052C,P32325,911
YDR054C,P14682,912
YDR055W,Q12355,913
YDR056C,Q12025,914
YDR057W,Q99220,915
YDR058C,P54857,916
YDR059C,P15732,917
YDR060W,Q12176,918
YDR061W,Q12298,919
YDR062W,P40970,920
YDR063W,Q12156,921
YDR064W,P05756,922
YDR065W,Q12167,923
YDR067C,Q12454,924
YDR068W,P54858,925
YDR069C,P32571,926
YDR070C,Q12497,927
YDR071C,Q12447,928
YDR072C,P38954,929
YDR073W,P38956,930
YDR074W,P31688,931
YDR075W,P32345,932
YDR076W,P38953,933
YDR077W,Q01589,934
YDR078C,P38957,935
YDR079C-A,Q3E7C1,936
YDR079W,P38958,937
YDR080W,P38959,938
YDR081C,P32896,939
YDR082W,P38960,940
YDR083W,P38961,941
YDR084C,P38962,942
YDR085C,P33304,943
YDR086C,P35179,944
YDR087C,P35178,945
YDR088C,Q02775,946
YDR089W,P38966,947
YDR090C,Q03193,948
YDR091C,Q03195,949
YDR092W,P52490,950
YDR093W,Q12675,951
YDR096W,Q03833,952
YDR097C,Q03834,953
YDR098C,Q03835,954
YDR098C-A,Q03856,955
YDR098C-B,Q03855,956
YDR099W,P34730,957
YDR100W,Q03860,958
YDR101C,Q03862,959
YDR103W,P32917,960
YDR104C,Q03868,961
YDR105C,Q12116,962
YDR106W,Q04549,963
YDR107C,Q04562,964
YDR108W,P46944,965
YDR109C,Q04585,966
YDR110W,O13329,967
YDR111C,P52892,968
YDR113C,P40316,969
YDR115W,Q04598,970
YDR116C,Q04599,971
YDR117C,Q04600,972
YDR118W,Q04601,973
YDR119W,Q2V2P9,974
YDR120C,P15565,975
YDR121W,Q04603,976
YDR122W,P13185,977
YDR123C,P26798,978
YDR124W,Q04608,979
YDR125C,Q04623,980
YDR126W,Q04629,981
YDR127W,P08566,982
YDR128W,Q03897,983
YDR129C,P32599,984
YDR130C,Q03898,985
YDR131C,Q03899,986
YDR132C,Q03900,987
YDR134C,Q7LHD1,988
YDR135C,P39109,989
YDR137W,P16664,990
YDR138W,P17629,991
YDR139C,Q03919,992
YDR140W,Q03920,993
YDR141C,Q03921,994
YDR142C,P39108,995
YDR143C,P22470,996
YDR144C,P53379,997
YDR145W,Q03761,998
YDR146C,P08153,999
YDR147W,Q03764,1000
YDR148C,P19262,1001
YDR150W,Q00402,1002
YDR151C,P47976,1003
YDR152W,Q03768,1004
YDR153C,Q03769,1005
YDR155C,P14832,1006
YDR156W,P50106,1007
YDR158W,P13663,1008
YDR159W,P46674,1009
YDR160W,Q03770,1010
YDR161W,Q03771,1011
YDR162C,Q12163,1012
YDR163W,Q03772,1013
YDR164C,P30619,1014
YDR165W,Q03774,1015
YDR166C,P89102,1016
YDR167W,Q12030,1017
YDR168W,P06101,1018
YDR169C,Q12427,1019
YDR170C,P11075,1020
YDR170W-A,Q03964,1021
YDR171W,Q12329,1022
YDR172W,P05453,1023
YDR173C,P07250,1024
YDR174W,Q03973,1025
YDR175C,Q03976,1026
YDR176W,P32494,1027
YDR177W,P21734,1028
YDR178W,P37298,1029
YDR179C,Q03981,1030
YDR179W-A,Q03983,1031
YDR180W,Q04002,1032
YDR181C,Q04003,1033
YDR182W,P40986,1034
YDR183W,Q04004,1035
YDR184C,Q04005,1036
YDR185C,Q04006,1037
YDR186C,Q04007,1038
YDR188W,P39079,1039
YDR189W,P22213,1040
YDR190C,Q03940,1041
YDR191W,P53688,1042
YDR192C,P49686,1043
YDR194C,P15424,1044
YDR195W,P42073,1045
YDR196C,Q03941,1046
YDR197W,P14905,1047
YDR198C,Q03942,1048
YDR200C,Q03944,1049
YDR201W,Q03954,1050
YDR202C,Q03956,1051
YDR204W,O13525,1052
YDR205W,Q03455,1053
YDR206W,Q03466,1054
YDR207C,P39001,1055
YDR208W,P38994,1056
YDR210C-C,Q12441,1057
YDR210C-D,Q99231,1058
YDR210W-B,Q03494,1059
YDR211W,P32501,1060
YDR212W,P12612,1061
YDR213W,Q12151,1062
YDR214W,Q12449,1063
YDR216W,P07248,1064
YDR217C,P14737,1065
YDR218C,Q04921,1066
YDR219C,Q04922,1067
YDR221W,Q04924,1068
YDR222W,Q04925,1069
YDR223W,Q04930,1070
YDR224C,P02293,1071
YDR225W,P04911,1072
YDR226W,P07170,1073
YDR227W,P11978,1074
YDR228C,P39081,1075
YDR229W,Q04934,1076
YDR231C,Q04935,1077
YDR232W,P09950,1078
YDR233C,Q04947,1079
YDR234W,P49367,1080
YDR235W,Q03776,1081
YDR236C,Q03778,1082
YDR237W,P36519,1083
YDR238C,P41810,1084
YDR239C,Q03780,1085
YDR240C,Q03782,1086
YDR242W,P22580,1087
YDR243C,P23394,1088
YDR244W,P35056,1089
YDR245W,P50108,1090
YDR246W,Q03784,1091
YDR247W,Q03785,1092
YDR248C,Q03786,1093
YDR249C,Q03787,1094
YDR251W,P37304,1095
YDR252W,P40314,1096
YDR253C,Q12041,1097
YDR254W,P38907,1098
YDR255C,Q12508,1099
YDR256C,P15202,1100
YDR257C,Q12504,1101
YDR258C,P33416,1102
YDR259C,Q03935,1103
YDR260C,Q12379,1104
YDR261C-C,O74302,1105
YDR261C-D,Q07793,1106
YDR261W-A,Q99303,1107
